Serial,direccion,Dirección del Inmueble,Colonia,Estado,Código postal
213,"LAMARTINE 114 DEPARTAMENTO 301 CHAPULTEPEC MORALES MEXICO, OT 11560 MEXICO, -","LAMARTINE 114 DEPARTAMENTO 301 CHAPULTEPEC MORALES MEXICO, OT 11560 MEXICO",CHAPULTEPEC MORALES,-,-
214,"Rancho San Lorenzo 14 edificio B depto 102 Girasoles III Coyoacán CD.MX. 04920, -",Rancho San Lorenzo 14 edificio B depto 102 Girasoles III Coyoacán CD.MX. 04920,GIRASOLES III,-,-
215,"V. de San Juan de los lagos 76, Tamaulipas Sección Virgencitas, Nezahualcóyotl, Estado de México, CP 57300, -","V. de San Juan de los lagos 76, Tamaulipas Sección Virgencitas, Nezahualcóyotl, Estado de México, CP 57300",TAMAULIPAS SEXXIÓN VIRGENCITAS,-,-
216,"Poniente 110 202, Defensores de la República, CDMX, 07780, -","Poniente 110 202, Defensores de la República, CDMX, 07780",DEFENSORES DE LA REPÚBLICA,-,-
217,"Monrovia, 809, Portales, Distrito Federal, 03300, -","Monrovia, 809, Portales, Distrito Federal, 03300",PORTALES,-,-
218,"Avenida del Parque Mz.20 Col. Cuchilla del Tesoro CDMX Gustavo A. Madero 07900, -",Avenida del Parque Mz.20 Col. Cuchilla del Tesoro CDMX Gustavo A. Madero 07900,CUCHILLA DEL TESORO,-,-
219,"Prolongación Vasco de Quiroga 4800 Torre E Depto. 1202. Col. Lomas de Santa Fe Cuajimalpa 05348, -",Prolongación Vasco de Quiroga 4800 Torre E Depto. 1202. Col. Lomas de Santa Fe Cuajimalpa 05348,LOMAS DE SANTA FE,-,-
222,"Calle Benito Juarez #23, Col. Ex Ejido Santa Ursula Coapa. Coyoacan cp 04850, -","Calle Benito Juarez #23, Col. Ex Ejido Santa Ursula Coapa. Coyoacan cp 04850",EX EJIDO SANTA URSULA COAPA,-,-
224,"Xochicalco 39 Col. Narvarte poniente CP 03020 Del Benito Juárez, -",Xochicalco 39 Col. Narvarte poniente CP 03020 Del Benito Juárez,NARVARTE PONIENTE,-,-
225,"Calle pino mz. 33 lt. 18 col. El molino, San Lorenzo tezonco del. Iztapalapa c.p. 09960, -","Calle pino mz. 33 lt. 18 col. El molino, San Lorenzo tezonco del. Iztapalapa c.p. 09960",EL MOLINO,-,-
226,"Juan cano 59, col. San Miguel chapultepec, Ciudad de México, 11850, -","Juan cano 59, col. San Miguel chapultepec, Ciudad de México, 11850",SAN MIGUEL CHAPULTEPEC,-,-
227,"Goya 71, Insurgentes Mixcoac, Benito Juarez CDMX, -","Goya 71, Insurgentes Mixcoac, Benito Juarez CDMX",INSURGENTES MIXCOAC,-,-
228,"Av. Jose Vasconcelos 172 C,D Col. Condesa C.P. 06140 CDMX, -","Av. Jose Vasconcelos 172 C,D Col. Condesa C.P. 06140 CDMX",Condesa,-,-
230,"América 206 casa 13 Colonia Parque San Andres. Coyoacan CP 04040, -",América 206 casa 13 Colonia Parque San Andres. Coyoacan CP 04040,PARQUE SAN ANDRÉS,-,-
231,"Alhambra 820 col Portales Cdf cp 03300, -",Alhambra 820 col Portales Cdf cp 03300,PORTALES,-,-
232,"Avenida de los Bosques 1516 Col. Lomas de Tecamachalco CP 05129 Huixquilucan, -",Avenida de los Bosques 1516 Col. Lomas de Tecamachalco CP 05129 Huixquilucan,LOMAS DE TECAMACHALCO,-,-
233,"Cerrada brujas 10a, pueblo de santa cruz Xochitepec, cp 16100, Xochimilco, Ciudad de México, -","Cerrada brujas 10a, pueblo de santa cruz Xochitepec, cp 16100, Xochimilco, Ciudad de México",PUEBLO DE SANTA CRUZ ZOCHITEPEC,-,-
234,"Matamoros 99, Barrio Santo Domingo , Tepoztlan Morelos . Cp 62520, -","Matamoros 99, Barrio Santo Domingo , Tepoztlan Morelos . Cp 62520",BARRIO SANTO DOMINGO TEPOZTLAN,-,-
235,"calle ejido, manzana 26, San Juan Ixtayopan Delegación Tláhuac, -","calle ejido, manzana 26, San Juan Ixtayopan Delegación Tláhuac",SAN JUAN IXTAYOPAN,-,-
236,"Rio Yang Tse, No.29, CDMX, 06500, -","Rio Yang Tse, No.29, CDMX, 06500",CUAUHTEMOC,-,-
237,"Tonala 23, col. Roma CP 06700, -","Tonala 23, col. Roma CP 06700",Roma Norte,-,-
238,"Las flores 17 San Cristóbal Xochimilco, CDMX 16080, -","Las flores 17 San Cristóbal Xochimilco, CDMX 16080",SAN CRISTÓBAL XOCHIMILCO,-,-
239,"Benito Juárez #23, depto 602, entre Víctor Rosales y Francisco I Madero, Colonia Viejo Ejido Santa Uraula Coapa, Ciudad de México,c.p. 04980, -","Benito Juárez #23, depto 602, entre Víctor Rosales y Francisco I Madero, Colonia Viejo Ejido Santa Uraula Coapa, Ciudad de México,c.p. 04980",VIEJO EJIDO SANTA ÚRSULA COAPA,-,-
240,"Queretaro 48, -",Queretaro 48,Roma Norte,-,-
241,"San Jose 38, colonia San Martín Xochinahuac, Ciudad de México, 02120, -","San Jose 38, colonia San Martín Xochinahuac, Ciudad de México, 02120",SAN MARTÍN XOCHINAHUAC,-,-
243,"Insurgentes Sur 1799, Guadalupe Inn. Álvaro Obregón CP 01020, -","Insurgentes Sur 1799, Guadalupe Inn. Álvaro Obregón CP 01020",GUADALUOE INN,-,-
244,"Baja California, 321, Hipodromo Condesa, CDMX, 06100, -","Baja California, 321, Hipodromo Condesa, CDMX, 06100",HIPÓDROMO,-,-
245,"Amesquite 170 Col. Sto. Domingo, Coyoacán 04369, -","Amesquite 170 Col. Sto. Domingo, Coyoacán 04369",SANTO DOMINGO,-,-
246,"Avenida México 129 departamento 1201 colonia Condesa 06100 CDMX, -",Avenida México 129 departamento 1201 colonia Condesa 06100 CDMX,Condesa,-,-
247,"Joaquín Amaro #24 colonia moderna ciudad ixtepec oaxaca 70110, -",Joaquín Amaro #24 colonia moderna ciudad ixtepec oaxaca 70110,-,-,-
248,"ALBATROS # 77 A MZ 11 LT 9 COL. RINCONADA DE ARAGÓN ECATEPEC EDO. MEX CP. 55140, -",ALBATROS # 77 A MZ 11 LT 9 COL. RINCONADA DE ARAGÓN ECATEPEC EDO. MEX CP. 55140,RINCONADA DE ARAGÓN,-,-
249,"Chilpancingo 14, Hipódromo, 06100 Ciudad de México, -","Chilpancingo 14, Hipódromo, 06100 Ciudad de México",HIPÓDROMO,-,-
250,"Río Lerma 100A, col. Cuauhtémoc, CDMX, 06500, -","Río Lerma 100A, col. Cuauhtémoc, CDMX, 06500",CUAUHTEMOC,-,-
252,"Cerrada Nayarit 13 colonia héroes de Padierna CDMX código postal 10700, -",Cerrada Nayarit 13 colonia héroes de Padierna CDMX código postal 10700,HÉROES DE PADIERNA,-,-
254,"Calle morelos 47 col San Javier Tlalnepantla edo Méx cp 54000, -",Calle morelos 47 col San Javier Tlalnepantla edo Méx cp 54000,SAN JAVIER TLALNEPANTLA,-,-
255,"Calzada de Tlalpan 605 Colonia Álamos Delegación Benito Juárez Departamento 801 CP 03400, -",Calzada de Tlalpan 605 Colonia Álamos Delegación Benito Juárez Departamento 801 CP 03400,Alamos,-,-
256,"Cumbres de Maltrata 165, colonia Narvarte poniente, México D.F., 03020, -","Cumbres de Maltrata 165, colonia Narvarte poniente, México D.F., 03020",NARVARTE PONIENTE,-,-
257,"MANUEL VILLALONGIN No. 82, COL. CUAUHTEMOC, CIUDAD DE MEXICO, CP 06500, -","MANUEL VILLALONGIN No. 82, COL. CUAUHTEMOC, CIUDAD DE MEXICO, CP 06500",CUAUHTEMOC,-,-
258,"av norte 43 edifcio 18 - int 301 Unidad habitacional aguacaliente 1 cp 08100 iztacalco, -",av norte 43 edifcio 18 - int 301 Unidad habitacional aguacaliente 1 cp 08100 iztacalco,AGRÍCOLA PANTITLAN,-,-
259,"Ezequiel Montes 64 Col Tabacalera Deleg Cuauhtémoc cp 06030 entre plaza de las Republicas y Edison, -",Ezequiel Montes 64 Col Tabacalera Deleg Cuauhtémoc cp 06030 entre plaza de las Republicas y Edison,TABACALERA,-,-
260,"Marsella 70 colonia Juárez 06600, -",Marsella 70 colonia Juárez 06600,JUÁREZ,-,-
261,"Av prolongacion de san antonio 7, col carola, del. alvaro obregon, cp 03810, -","Av prolongacion de san antonio 7, col carola, del. alvaro obregon, cp 03810",CAROLA,-,-
262,"Av Eugenia #832 interior 202. Col Del Valle, Delegación Benito Juárez. CP 03100. CDMX, -","Av Eugenia #832 interior 202. Col Del Valle, Delegación Benito Juárez. CP 03100. CDMX",Del Valle,-,-
264,"Calle A edif 42 depto 47 Col. Alianza Popular Revolucionaria, Ciudad de México, cp 04800, entre bombas y tepetlapa, a un costado de la parisina, -","Calle A edif 42 depto 47 Col. Alianza Popular Revolucionaria, Ciudad de México, cp 04800, entre bombas y tepetlapa, a un costado de la parisina",ALIANZA POPULAR REVOLUCIONARIA,-,-
265,"calle 39 #58 Col. U. H. Sta. Cruz Meyehualco C.P. 09290, -",calle 39 #58 Col. U. H. Sta. Cruz Meyehualco C.P. 09290,U.H. STA. CRUZ MEYEHUALCO,-,-
266,"Calle Cuernavaca 28 Col. Condesa Del. Cuauhtémoc C.P 06140, -",Calle Cuernavaca 28 Col. Condesa Del. Cuauhtémoc C.P 06140,Condesa,-,-
267,"Cerrada de tigre 9 interior 301, col actipan 03230, entre san francisco y elefante, -","Cerrada de tigre 9 interior 301, col actipan 03230, entre san francisco y elefante",ACTIPAN,-,-
268,"Cerrada Sur 57, Numero 166, Colonia Transito Delegación Cuahtemoc, Codigo Postal 06820, -","Cerrada Sur 57, Numero 166, Colonia Transito Delegación Cuahtemoc, Codigo Postal 06820",TRANSITO,-,-
269,"Sabinos edificio No 7, Col. Infonavit Iztacalco, CP. 08900, Cd. Mx, -","Sabinos edificio No 7, Col. Infonavit Iztacalco, CP. 08900, Cd. Mx",INFONAVIT IZTACALCO,-,-
270,"República de peru 129, int 205, col centro, delegación Cuauhtémoc, c.p 06020, -","República de peru 129, int 205, col centro, delegación Cuauhtémoc, c.p 06020",Centro,-,-
271,"Matías Romero 280 yo estoy en el depto 203 Colonia Letrán Valle Del Benito Juárez, Entre Motozintla y Monte Albán, -","Matías Romero 280 yo estoy en el depto 203 Colonia Letrán Valle Del Benito Juárez, Entre Motozintla y Monte Albán",COLONIA LETRÁN VALLE,-,-
272,"Xola 318, Del Valle, Ciudad de México, 03100, -","Xola 318, Del Valle, Ciudad de México, 03100",Del Valle,-,-
273,"Carlos B Zetina 46 Escandón CP 11800 deleg Miguel Hidalgo CDMX, -",Carlos B Zetina 46 Escandón CP 11800 deleg Miguel Hidalgo CDMX,Escandon,-,-
274,"Calzada de Tlalpan 1434 col. Portales Oriente. CP 03570, -",Calzada de Tlalpan 1434 col. Portales Oriente. CP 03570,PORTALES ORIENTE,-,-
275,"Alfonso Reyes 152 Colonia Hipodromo Condesa CP 06100 CDMX, -",Alfonso Reyes 152 Colonia Hipodromo Condesa CP 06100 CDMX,HIPÓDORMO CONDESA,-,-
276,"Jose marti 300, escandon, -","Jose marti 300, escandon",Escandon,-,-
278,"iguala 7, colonia Roma Sur, Ciudad de Mexico, 06760, -","iguala 7, colonia Roma Sur, Ciudad de Mexico, 06760",ROMA SUR,-,-
